(0.07821475-0.26648499999999997j)
(0.077568-0.26581775j)
(0.0781325-0.26525424999999997j)
(0.07839175-0.26396025j)
(0.07663775-0.26602775j)
(0.07849125-0.26632875j)
(0.07740375000000001-0.26776725j)
(0.07853725-0.26662725j)
(0.0787765-0.267943j)
(0.077041-0.26764125j)
(0.078454-0.266588j)
(0.0786685-0.267697j)
(0.0775405-0.26638675j)
(0.0798005-0.2654835j)
(0.07901-0.26726075j)
(0.07749575-0.2661795j)
(0.07723175-0.2663895j)
(0.0784845-0.26907325j)
(0.07730575-0.2666375j)
(0.07895100000000001-0.26833525j)
(0.0784745-0.26630400000000004j)
(0.07542625-0.26804325j)
(0.07724625-0.26587900000000003j)
(0.077711-0.2663395j)
(0.076559-0.26713875000000004j)
(0.0773475-0.264468j)
(0.07758475-0.2645415j)
(0.07947375-0.2627635j)
(0.0779705-0.26631475j)
(0.07555325-0.26597175j)
(0.074948-0.26570925j)
(0.07874525-0.26305575000000003j)
(0.0781525-0.26514624999999997j)
(0.076247-0.26678075j)
(0.07879925-0.26517025j)
(0.07839299999999999-0.2645815j)
(0.078903-0.266827j)
(0.0766105-0.26522525j)
(0.07707449999999999-0.264986j)
(0.079372-0.26454875j)
(0.07825025000000001-0.26614350000000003j)
(0.08069074999999999-0.2664175j)
(0.07715975-0.26428525j)
(0.079067-0.266571j)
(0.07726725-0.26629825j)
(0.07787125-0.265997j)
(0.0774825-0.2648855j)
(0.07731075-0.266104j)
(0.0781385-0.26552675000000003j)
(0.07767974999999999-0.266375j)
(0.07795675-0.26440400000000003j)
(0.07873425-0.26528275j)
(0.077943-0.26612075j)
(0.07834674999999999-0.265075j)
(0.07722425000000001-0.26577925j)
(0.0794175-0.2643625j)
(0.07795-0.266084j)
(0.07796875-0.26622425j)
(0.07926425-0.264526j)
(0.07784049999999999-0.26397275j)
(0.079475-0.26537325j)
(0.078857-0.26472249999999997j)
(0.07946325-0.26526225j)
(0.078812-0.26620825j)
(0.07732975-0.26652825j)
(0.07885525-0.26474625j)
(0.078652-0.2642115j)
(0.07910924999999999-0.26506025j)
(0.0778245-0.2656785j)
(0.07778225-0.26364625j)
(0.0778895-0.26491575j)
(0.078422-0.265527j)
(0.07880474999999999-0.2658345j)
(0.07746525-0.26424j)
(0.07816125-0.263081j)
(0.077504-0.2635325j)
(0.07976975-0.2627205j)
(0.0769465-0.262753j)
(0.079969-0.26336375j)
(0.0782565-0.26372225j)
(0.07942125-0.263933j)
(0.07951925-0.26093475j)
(0.0782595-0.2631255j)
(0.07684300000000001-0.2644925j)
(0.07802125-0.26149525j)
(0.0789505-0.261536j)
(0.08039125-0.2606365j)
(0.08127975-0.25713775j)
(0.08174250000000001-0.258073j)
(0.08082850000000001-0.255423j)
(0.0821095-0.25427025000000003j)
(0.08299799999999999-0.25243424999999997j)
(0.08566325000000001-0.24890274999999998j)
(0.08544225000000001-0.24569225j)
(0.085675-0.23684875000000002j)
(0.08957599999999999-0.22660025j)
(0.09645424999999999-0.20990124999999998j)
(0.09630525000000001-0.21059225j)
(0.09904375-0.20183274999999998j)
(0.09675075-0.21453175000000002j)
(0.08994025-0.22599049999999998j)
(0.09031475-0.230881j)
(0.08519674999999999-0.24279274999999997j)
(0.08475400000000001-0.249272j)
(0.082246-0.25501999999999997j)
(0.08328225-0.258234j)
(0.07992375-0.25943175j)
(0.0806585-0.26158125j)
(0.08166725-0.26154425j)
(0.078781-0.259758j)
(0.07931075-0.2614955j)
(0.07936-0.263104j)
(0.077861-0.263956j)
(0.07793549999999999-0.26417075j)
(0.07843175-0.26463925j)
(0.07821399999999999-0.26325025j)
(0.07840925-0.264657j)
(0.0785635-0.26299724999999996j)
(0.07731175-0.264903j)
(0.07857025000000001-0.26587875j)
(0.07890375-0.26728675j)
(0.0773935-0.26840825j)
(0.078247-0.266847j)
(0.079212-0.26332675j)
(0.0790265-0.2652655j)
(0.07843625-0.26733775000000004j)
(0.07840425-0.2636635j)
(0.0786225-0.26615525j)
(0.07821425-0.26740875j)
(0.0764115-0.26491575j)
(0.0773035-0.26538575000000003j)
(0.0774575-0.26768225j)
(0.07972825-0.267107j)
(0.078692-0.266713j)
(0.07789775-0.2651545j)
(0.07926325000000001-0.2652275j)
(0.0774225-0.2646275j)
(0.07811775-0.26713525j)
(0.078318-0.26612825j)
(0.07679925-0.2649605j)
(0.0786935-0.26594325j)
(0.07964325-0.266734j)
(0.078851-0.266857j)
(0.07829525-0.266606j)
(0.079071-0.2664395j)
(0.07910425-0.2647605j)
(0.07763025-0.26650875j)
(0.07977275-0.26307575j)
(0.0760725-0.26666975j)
(0.07681650000000001-0.26577425j)
(0.078023-0.2667675j)
(0.0772605-0.265963j)
(0.077701-0.262378j)
(0.0798905-0.266773j)
(0.07818675-0.26518875000000003j)
(0.078138-0.26491125j)
(0.078072-0.26642499999999997j)
(0.07732625-0.26594825j)
(0.077623-0.26513825j)
(0.079447-0.263801j)
(0.07800825-0.265793j)
(0.07745375-0.26641325j)
(0.07987425-0.2674835j)
(0.07886925-0.2688045j)
(0.07854725-0.26731575j)
(0.07782525-0.26593525j)
(0.0780325-0.26475750000000003j)
(0.07719075-0.26649525j)
(0.078022-0.2680025j)
(0.0775915-0.2654685j)
(0.078776-0.2675465j)
(0.07835625-0.26626525j)
(0.0775725-0.26538025j)
(0.079763-0.26616875j)
(0.07892925-0.2684185j)
(0.07924625-0.26426575j)
(0.077866-0.2656705j)
(0.07731175-0.265454j)
(0.08064299999999999-0.2660175j)
(0.07774675-0.2662965j)
(0.07812000000000001-0.26751725j)
(0.07588650000000001-0.26715174999999997j)
(0.0786245-0.2661245j)
(0.07875975-0.26685424999999996j)
(0.07614575-0.2661235j)
(0.07789125000000001-0.2671145j)
(0.078569-0.26716725j)
(0.077964-0.26602575j)
(0.07703825-0.26758424999999997j)
(0.079091-0.265349j)
(0.07820875-0.2667925j)
(0.0789605-0.26591325j)
(0.0795-0.26611025j)
(0.07842500000000001-0.26684125000000003j)
(0.07726725-0.266437j)
(0.07950125-0.265943j)
(0.0768925-0.26610675j)
(0.07912775-0.2685385j)
(0.079876-0.26711975j)
(0.07913325-0.26637025000000003j)
