(-0.003905+0.00152125j)
(0.0041325-0.00670875j)
(-0.0052925+0.00169875j)
(0.0010075000000000001+0.00818375j)
(0.005161249999999999-0.007398749999999999j)
(-0.01072625+0.001925j)
(0.0099475+0.007072500000000001j)
(0.0042+0.00029499999999999996j)
(-0.00673875+0.0029075j)
(0.00557125+0.004347500000000001j)
(0.00739125-0.01067625j)
(-0.0052025+0.00294j)
(0.00290875+0.0053475j)
(0.0077037500000000005-0.0152325j)
(-0.00920875+0.003185j)
(0.0076975+0.0064225j)
(0.0047599999999999995-0.012845j)
(-0.006959999999999999+0.0013875j)
(0.00686125+0.01349125j)
(-0.00234875-0.010974999999999999j)
(-0.0053725+0.00310875j)
(0.0084525+0.006883749999999999j)
(-0.0020325-0.0149275j)
(-0.00775875+0.00802375j)
(0.013415+0.008578750000000001j)
(-0.00272125-0.0135175j)
(-0.015291250000000001+0.00609j)
(0.010547500000000001+0.0019125000000000001j)
(-0.00915375-0.010185j)
(-0.0036812499999999996+0.0075175j)
(0.0151525-0.003495j)
(-0.0084275-0.01717j)
(-0.00995125+0.00866625j)
(0.01138625+0.0026024999999999998j)
(-0.00415875-0.0050225j)
(-0.003135+0.009273749999999999j)
(0.010742499999999999+0.00481875j)
(-0.01345375-0.00825125j)
(-0.00259625+0.0062675000000000005j)
(0.012193750000000001-0.0012612499999999998j)
(-0.011868749999999999-0.00971625j)
(0.00052+0.018015j)
(0.01239625-0.00935625j)
(-0.01298-0.010898749999999999j)
(-0.00048125+0.013811249999999999j)
(0.011512500000000002-0.005600000000000001j)
(-0.00745-0.00416625j)
(-0.00420875+0.0086375j)
(0.01309625-0.010046250000000001j)
(-0.007195-0.00527125j)
(0.0030875000000000004+0.00938j)
(0.01309375-0.005515j)
(-0.00677875-0.0032725j)
(0.004925+0.00753j)
(0.0081075+0.0016225j)
(-0.0053325000000000004-0.0028687499999999998j)
(0.00244375+0.0063887499999999995j)
(0.0069162500000000005-0.0033j)
(0.00075125-0.00390125j)
(0.0013012499999999999+0.0101425j)
(0.00784125-0.00369625j)
(-0.0060550000000000005-0.005467499999999999j)
(-0.00018875+0.00475375j)
(0.010013749999999998-0.01100125j)
(-0.0019975-0.0076575j)
(-0.0026525+0.00594875j)
(0.008285+0.00087125j)
(-0.00019125-0.009559999999999999j)
(-0.005507499999999999+0.00530875j)
(0.00895125-0.00343875j)
(-0.0075175-0.0028925j)
(-0.000805+0.0023375j)
(0.01329625-0.00017500000000000003j)
(-0.00287125-0.0112575j)
(-0.00212125+0.012078750000000001j)
(0.00809-0.00217125j)
(-0.00399875-0.010235000000000001j)
(-0.00085125+0.0129975j)
(0.01372125-0.0028025j)
(-0.00141625-0.011755j)
(-0.00497625+0.0114875j)
(0.0148075-0.0054025j)
(-0.0023474999999999998-0.0102775j)
(-0.0058175+0.01452375j)
(0.0141775-0.00202j)
(-0.00915625-0.00896375j)
(-0.00477625+0.01496875j)
(0.016352500000000002-0.00462j)
(-0.00922-0.01915625j)
(-0.0028000000000000004+0.020964999999999998j)
(0.01360625-0.0046375j)
(-0.01210875-0.0197725j)
(-0.00657+0.01293625j)
(0.01513-0.010553749999999999j)
(-0.01035-0.01337375j)
(-0.001065+0.018535j)
(0.01835875-0.006035j)
(-0.016243749999999998-0.01216375j)
(-0.0049525+0.02261625j)
(0.0169025-0.01232875j)
(-0.0204725-0.00316625j)
(0.0007074999999999999+0.02035375j)
(0.0163625-0.013126249999999999j)
(-0.0182025-0.0039074999999999995j)
(0.005081250000000001+0.022251249999999997j)
(0.02304125-0.015905j)
(-0.025326249999999998-0.00549125j)
(0.0032687500000000004+0.02250375j)
(0.01709875-0.008884999999999999j)
(-0.0270425-0.00569375j)
(0.00584375+0.026996250000000003j)
(0.01981625-0.0175875j)
(-0.0264125-0.011156250000000001j)
(0.00686125+0.03328625j)
(0.01620875-0.016385j)
(-0.0295025-0.005809999999999999j)
(0.010329999999999999+0.021107499999999998j)
(0.01893375-0.022355j)
(-0.03237-0.006866250000000001j)
(0.00877375+0.02337125j)
(0.0190575-0.023813749999999998j)
(-0.0299275-0.00445j)
(0.016075+0.0307225j)
(0.0145775-0.02721875j)
(-0.03977375-0.0022575j)
(0.01386625+0.03018375j)
(0.01846375-0.027466249999999998j)
(-0.0366775-0.00072125j)
(0.01523125+0.02957875j)
(0.0246-0.0253625j)
(-0.0413425-0.00597625j)
(0.00914625+0.034478749999999996j)
(0.02359875-0.0356975j)
(-0.04282125+0.00215125j)
(0.0173525+0.0375j)
(0.0255225-0.03470875j)
(-0.04774125-0.00933625j)
(0.011088750000000001+0.04547j)
(0.0335875-0.032702499999999995j)
(-0.04260875-0.015155j)
(0.01157625+0.04476375j)
(0.04327875-0.04051625j)
(-0.05094375-0.02797125j)
(0.013465+0.0584725j)
(0.0479925-0.0365925j)
(-0.06445000000000001-0.0228375j)
(0.0053925+0.06318625j)
(0.06429750000000001-0.04046125j)
(-0.06688374999999999-0.04462875j)
(-0.009675+0.08180249999999999j)
(0.08037375000000001-0.03839875j)
(-0.0702275-0.06464750000000001j)
(-0.022182499999999997+0.09733874999999999j)
(0.10313375000000001-0.022014999999999996j)
(-0.0702725-0.08145250000000001j)
(-0.051660000000000005+0.09773749999999999j)
(0.10783250000000001+0.00133125j)
(-0.0408675-0.10409375000000001j)
(-0.07686625+0.08645125000000001j)
(0.11068+0.03388125j)
(-0.0239775-0.11267875j)
(-0.09186+0.0579575j)
(0.09322375+0.05113375j)
(0.005274999999999999-0.1039725j)
(-0.08722875000000001+0.0407525j)
(0.07629125+0.049653749999999997j)
(0.01223125-0.08750875000000001j)
(-0.079235+0.022403749999999997j)
(0.057542499999999996+0.054017499999999996j)
(0.023636249999999998-0.07274j)
(-0.070975+0.015455000000000002j)
(0.04264375+0.04511999999999999j)
(0.01800125-0.059608749999999995j)
(-0.059775+0.011085000000000001j)
(0.033861249999999996+0.04270625j)
(0.025547499999999997-0.05246125j)
(-0.0563775+0.00880125j)
(0.03653875+0.03948125j)
(0.021251250000000003-0.04643875j)
(-0.046578749999999995+0.0055725j)
(0.02849875+0.0399325j)
(0.012945-0.04497625j)
(-0.038345+0.0113825j)
(0.01685875+0.032702499999999995j)
(0.01244375-0.036215000000000004j)
(-0.029249999999999998+0.00167125j)
(0.0239275+0.02818625j)
(0.01768125-0.030147499999999997j)
(-0.03384625+0.0047875j)
(0.01577125+0.0256175j)
(0.016735-0.0303625j)
(-0.03264125-0.002405j)
(0.01607+0.0215075j)
(0.016403749999999998-0.020267499999999997j)
(-0.02363875+0.00053j)
(0.010215+0.025225j)
(0.01475625-0.02626625j)
(-0.02560375-0.0057174999999999995j)
(0.010005+0.01945125j)
(0.01427-0.01824125j)
(-0.02023375+0.00138875j)
(0.0106325+0.02346j)
(0.01295625-0.021915j)
(-0.030141249999999998-0.0015625j)
(0.02169+0.01958875j)
(0.00974375-0.02014625j)
(-0.0242025+0.0066725000000000005j)
(0.01283625+0.01806j)
(0.011921250000000001-0.02469j)
(-0.02963375+0.0023125000000000003j)
(0.011583749999999999+0.01840125j)
(0.01280125-0.030830000000000003j)
(-0.02624375+0.0053225j)
(0.011040000000000001+0.0220925j)
